id,name,category,location,status,type,notes,created_at,updated_at,added_by,last_borrowed_by,last_borrowed_at,last_returned_at,brand,model,serial_number,material,dimensions,license_plate,vehicle_type,year,month,stnk_year,stnk_month,mileage,fuel_type,capacity,room_size,floor,facilities
AST-06628D80,kamar 219,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
AST-710595EB,kamar 220,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
AST-608B8526,Kamar 321,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-35B973AC,Kamar 322,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-FC969995,Kamar 323,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-6913FB37,Kamar 324,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-BBE37848,Kamar 325,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-A45C395D,Kamar 326,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-2355F48A,Kamar 327,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-6E4D8509,Kamar 328,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-C36D3067,Kamar 329,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-441A9C4F,Kamar 330,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-7D6A9753,Kamar 431,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,4,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-CA31A88C,Kamar 432,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-C4D9C4D1,Kamar 433,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-CE6D88E5,Kamar 434,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-AC0D5B90,Kamar 435,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-B80B5DE6,Kamar 436,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-3C7B168F,Kamar 437,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-0A2072DE,Kamar 438,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-9E223116,Kamar 439,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-7C02077C,Kamar 440,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-AEE07699,Kamar 541,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-DF982287,Kamar 542,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-6001F2A4,Kamar 543,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-31BDBA63,Kamar 544,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-5807BB16,Kamar 545,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-6E2B3B35,Kamar 546,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-FC8716F3,Kamar 547,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-9DF24CA7,Kamar 548,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-22D1547A,Kamar 549,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-4A86694A,Kamar 550,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-2A184EB6,Kamar 651,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-7AA262B0,Kamar 652,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-2DF02BC3,Kamar 653,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-C4014E4E,Kamar 654,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-C26E0BC7,Kamar 655,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-7C7553FF,Kamar 656,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-5E7A16A9,Kamar 657,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-1EA40199,Kamar 658,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-12BA431C,Kamar 659,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-415C00C8,Kamar 660,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-6D312365,Laboratorium Multimedia,Ruangan,PPKASN,dipinjam,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,45,,,"45 Set PC Multimedia, Sound Sistem Set (Mic dan Speaker), Infocus dan Screen"
AST-C7167EF3,Ruang Auditorium,Ruangan,PPKASN,dipinjam,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,100,,,"Sound Sistem (Mic dan Speaker), LCD Infocus, 2 Buah Layar"
AST-C5889A06,Ruang Diskusi 1,Ruangan,PPKASN,dipinjam,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,10,,,"Meja dan Kursi Belajar (Flexible Set), Screen"
AST-153AF09B,Ruang Diskusi 2,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,10,,,"Meja dan Kursi Belajar (Flexible Set), Screen"
AST-33CCEDE5,Ruang Diskusi 3,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,10,,,"Meja dan Kursi Belajar (Flexible Set), Screen"
AST-9922E828,Ruang Diskusi 4,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,10,,,"Meja dan Kursi Belajar (Flexible Set), Screen"
AST-46BC2BF5,Ruang Diskusi 5,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,10,,,"Meja dan Kursi Belajar (Flexible Set), Screen"
AST-0D88D94E,Ruang Diskusi 6,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,10,,,"Meja dan Kursi Belajar (Flexible Set), Screen"
AST-41329EC3,Ruang Kelas 1,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,40,,,"Meja dan Kursi Belajar (Flexible Set), 1 Set PC Pengajar, Sound Sistem Set (Mic dan Speaker, Interactive LCD Infocus, Screen"
AST-8FB67706,Ruang Kelas 2,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,40,,,"Meja dan Kursi Belajar (Flexible Set), 1 Set PC Pengajar, Sound Sistem Set (Mic dan Speaker, Interactive LCD Infocus, Screen"
AST-B50DE73D,Ruang Kelas 3,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,40,,,"Meja dan Kursi Belajar (Flexible Set), 1 Set PC Pengajar, Sound Sistem Set (Mic dan Speaker, Interactive LCD Infocus, Screen"
AST-C972ABF8,Ruang Kelas 4,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,40,,,"Meja dan Kursi Belajar (Flexible Set), 1 Set PC Pengajar, Sound Sistem Set (Mic dan Speaker, Interactive LCD Infocus, Screen"
AST-8F6F1148,Ruang Kelas 5,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,40,,,"Meja dan Kursi Belajar (Flexible Set), 1 Set PC Pengajar, Sound Sistem Set (Mic dan Speaker, Interactive LCD Infocus, Screen"
AST-6CB45B60,Ruang Kelas 6,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,40,,,"Meja dan Kursi Belajar (Flexible Set), 1 Set PC Pengajar, Sound Sistem Set (Mic dan Speaker, Interactive LCD Infocus, Screen"
AST-974502A1,Ruang Seminar,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,50,,,"Sound Sistem (Mic dan Speaker), LCD Infocus, Screen"
AST-9247AD17,Ruang Studio Multimedia,Ruangan,PPKASN,tersedia,ruangan,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,10,,,Studio Shooting Set
